Danger Level,Sev1,Sev2,Sev3,Sev4,Sev5,Sev6
441064,19,2392,8637,240,117,5753
512419,19,2753,9573,381,439,6521
742983,23,3881,16897,432,626,8642
401142,17,2314,8223,288,448,4793
486462,12,3708,12288,238,435,5181
489227,17,3048,11938,400,160,5530
403203,8,2468,11977,349,192,3861
378867,12,2651,12846,473,148,3056
492175,20,3400,13255,513,366,4926
444572,22,3167,12025,552,367,4342
514564,29,3541,13452,466,408,5295
864353,18,4243,16490,430,863,10967
540009,14,2461,11278,269,580,6545
335721,11,2551,11471,274,138,2743
369486,21,2471,10484,385,280,3542
328378,28,1944,7618,254,426,3594
322486,16,2415,9927,319,223,2860
466057,17,2133,8611,238,508,5975
391558,18,2504,8582,379,523,4360
224770,5,1259,5058,209,237,2537
167976,11,1219,4662,223,170,1569
